Date,Country,Province,ISO3,Confirmed,Fatal,Recovered,Hosp_require,Moderate,Severe,Tests,Vaccinations,Vaccinations_boosters,Vaccinated_once,Vaccinated_full
2020-02-06,Japan,-,JPN,25,0.0,4.0,0.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0
2020-02-07,Japan,-,JPN,25,0.0,4.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,0.0
2020-02-10,Japan,-,JPN,26,0.0,9.0,0.0,0.0,0.0,938.0,0.0,0.0,0.0,0.0
2020-02-12,Japan,-,JPN,28,0.0,10.0,0.0,0.0,0.0,954.0,0.0,0.0,0.0,0.0
2020-02-13,Japan,-,JPN,29,0.0,11.0,0.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0
2020-02-14,Japan,-,JPN,33,0.0,12.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0,0.0
2020-02-17,Japan,-,JPN,59,1.0,16.0,0.0,-3.0,3.0,1251.0,0.0,0.0,0.0,0.0
2020-02-18,Japan,-,JPN,66,1.0,16.0,0.0,-3.0,3.0,1287.0,0.0,0.0,0.0,0.0
2020-02-19,Japan,-,JPN,73,1.0,18.0,0.0,-6.0,6.0,1296.0,0.0,0.0,0.0,0.0
2020-02-20,Japan,-,JPN,84,1.0,20.0,0.0,-7.0,7.0,1432.0,0.0,0.0,0.0,0.0
2020-02-21,Japan,-,JPN,93,1.0,20.0,0.0,-9.0,9.0,1522.0,0.0,0.0,0.0,0.0
2020-02-22,Japan,-,JPN,105,1.0,24.0,0.0,-10.0,10.0,1607.0,0.0,0.0,0.0,0.0
2020-02-23,Japan,-,JPN,129,1.0,24.0,0.0,-11.0,11.0,1703.0,0.0,0.0,0.0,0.0
2020-02-24,Japan,-,JPN,141,1.0,26.0,0.0,-13.0,13.0,1742.0,0.0,0.0,0.0,0.0
2020-02-25,Japan,-,JPN,155,1.0,18.0,0.0,-14.0,14.0,1846.0,0.0,0.0,0.0,0.0
2020-02-26,Japan,-,JPN,164,1.0,32.0,0.0,-15.0,15.0,1890.0,0.0,0.0,0.0,0.0
2020-02-27,Japan,-,JPN,186,3.0,40.0,0.0,-16.0,16.0,2058.0,0.0,0.0,0.0,0.0
2020-02-28,Japan,-,JPN,210,4.0,41.0,0.0,-20.0,20.0,2209.0,0.0,0.0,0.0,0.0
2020-02-29,Japan,-,JPN,230,5.0,46.0,0.0,-22.0,22.0,2339.0,0.0,0.0,0.0,0.0
2020-03-01,Japan,-,JPN,239,5.0,46.0,0.0,-23.0,23.0,2517.0,0.0,0.0,0.0,0.0
2020-03-02,Japan,-,JPN,254,6.0,47.0,0.0,-23.0,23.0,2613.0,0.0,0.0,0.0,0.0
2020-03-03,Japan,-,JPN,268,6.0,50.0,0.0,-24.0,24.0,2684.0,0.0,0.0,0.0,0.0
2020-03-04,Japan,-,JPN,284,6.0,52.0,0.0,-24.0,24.0,6519.0,0.0,0.0,0.0,0.0
2020-03-05,Japan,-,JPN,318,6.0,53.0,0.0,-27.0,27.0,6777.0,0.0,0.0,0.0,0.0
2020-03-06,Japan,-,JPN,349,6.0,71.0,0.0,-30.0,30.0,7476.0,0.0,0.0,0.0,0.0
2020-03-07,Japan,-,JPN,408,6.0,78.0,0.0,-28.0,28.0,8029.0,0.0,0.0,0.0,0.0
