Country,Year,Sex,Age,Population
Italy,2020,Male,0,235862
Italy,2020,Male,1,235862
Italy,2020,Male,2,235862
Italy,2020,Male,3,235862
Italy,2020,Male,4,235862
Italy,2020,Female,0,222095
Italy,2020,Female,1,222095
Italy,2020,Female,2,222095
Italy,2020,Female,3,222095
Italy,2020,Female,4,222095
Italy,2020,Male,5,270818
Italy,2020,Male,6,270818
Italy,2020,Male,7,270818
Italy,2020,Male,8,270818
Italy,2020,Male,9,270818
Italy,2020,Female,5,255223
Italy,2020,Female,6,255223
Italy,2020,Female,7,255223
Italy,2020,Female,8,255223
Italy,2020,Female,9,255223
Italy,2020,Male,10,289620
Italy,2020,Male,11,289620
Italy,2020,Male,12,289620
Italy,2020,Male,13,289620
Italy,2020,Male,14,289620
Italy,2020,Female,10,273271
Italy,2020,Female,11,273271
Italy,2020,Female,12,273271
Italy,2020,Female,13,273271
Italy,2020,Female,14,273271
Italy,2020,Male,15,292433
Italy,2020,Male,16,292433
Italy,2020,Male,17,292433
Italy,2020,Male,18,292433
Italy,2020,Male,19,292433
Italy,2020,Female,15,274148
Italy,2020,Female,16,274148
Italy,2020,Female,17,274148
Italy,2020,Female,18,274148
Italy,2020,Female,19,274148
Italy,2020,Male,20,300731
Italy,2020,Male,21,300731
Italy,2020,Male,22,300731
Italy,2020,Male,23,300731
Italy,2020,Male,24,300731
Italy,2020,Female,20,278934
Italy,2020,Female,21,278934
Italy,2020,Female,22,278934
Italy,2020,Female,23,278934
Italy,2020,Female,24,278934
Italy,2020,Male,25,320165
Italy,2020,Male,26,320165
Italy,2020,Male,27,320165
Italy,2020,Male,28,320165
Italy,2020,Male,29,320165
Italy,2020,Female,25,302528
Italy,2020,Female,26,302528
Italy,2020,Female,27,302528
Italy,2020,Female,28,302528
Italy,2020,Female,29,302528
Italy,2020,Male,30,335481
Italy,2020,Male,31,335481
Italy,2020,Male,32,335481
Italy,2020,Male,33,335481
Italy,2020,Male,34,335481
Italy,2020,Female,30,327514
Italy,2020,Female,31,327514
Italy,2020,Female,32,327514
Italy,2020,Female,33,327514
Italy,2020,Female,34,327514
Italy,2020,Male,35,359376
Italy,2020,Male,36,359376
Italy,2020,Male,37,359376
Italy,2020,Male,38,359376
Italy,2020,Male,39,359376
Italy,2020,Female,35,356298
Italy,2020,Female,36,356298
Italy,2020,Female,37,356298
Italy,2020,Female,38,356298
Italy,2020,Female,39,356298
Italy,2020,Male,40,412182
Italy,2020,Male,41,412182
Italy,2020,Male,42,412182
Italy,2020,Male,43,412182
Italy,2020,Male,44,412182
Italy,2020,Female,40,413035
Italy,2020,Female,41,413035
Italy,2020,Female,42,413035
Italy,2020,Female,43,413035
Italy,2020,Female,44,413035
Italy,2020,Male,45,473003
Italy,2020,Male,46,473003
Italy,2020,Male,47,473003
Italy,2020,Male,48,473003
Italy,2020,Male,49,473003
Italy,2020,Female,45,479087
Italy,2020,Female,46,479087
Italy,2020,Female,47,479087
